Subject,Group,Category,Type,Metric,Value
sub-047,nonOTC,Word,Asymmetric,RDM_Stability,-0.04468664818891703
sub-047,nonOTC,Object,Bilateral,RDM_Stability,0.811569781839041
sub-047,nonOTC,House,Bilateral,RDM_Stability,0.6113649155133638
sub-049,nonOTC,Face,Asymmetric,Hybrid_Stability,0.886763297971878
sub-049,nonOTC,Word,Asymmetric,Hybrid_Stability,0.8584458673392904
sub-049,nonOTC,Object,Bilateral,Hybrid_Stability,0.9531280255401309
sub-049,nonOTC,House,Bilateral,Hybrid_Stability,0.8595474189377136
sub-049,nonOTC,Face,Asymmetric,Spatial_Drift,5.904488049080162
sub-049,nonOTC,Word,Asymmetric,Spatial_Drift,9.416428442218459
sub-049,nonOTC,Object,Bilateral,Spatial_Drift,2.2230965066339547
sub-049,nonOTC,House,Bilateral,Spatial_Drift,5.56246042440247
sub-049,nonOTC,Face,Asymmetric,RDM_Stability,0.9657515683699596
sub-049,nonOTC,Word,Asymmetric,RDM_Stability,0.6904291034287429
sub-049,nonOTC,Object,Bilateral,RDM_Stability,0.881591883751108
sub-049,nonOTC,House,Bilateral,RDM_Stability,0.9784692466106643
sub-070,nonOTC,Face,Asymmetric,Hybrid_Stability,0.8959158412596796
sub-070,nonOTC,Word,Asymmetric,Hybrid_Stability,0.8814309150313459
sub-070,nonOTC,Object,Bilateral,Hybrid_Stability,0.6582675302144715
sub-070,nonOTC,House,Bilateral,Hybrid_Stability,0.9212546891018455
sub-070,nonOTC,Face,Asymmetric,Spatial_Drift,2.8877911433689984
sub-070,nonOTC,Word,Asymmetric,Spatial_Drift,4.336619885056636
sub-070,nonOTC,Object,Bilateral,Spatial_Drift,2.8830220575102747
sub-070,nonOTC,House,Bilateral,Spatial_Drift,3.858769508374516
sub-070,nonOTC,Face,Asymmetric,RDM_Stability,0.9743933947476315
sub-070,nonOTC,Word,Asymmetric,RDM_Stability,0.27302397523159877
sub-070,nonOTC,Object,Bilateral,RDM_Stability,0.9700880030537777
sub-070,nonOTC,House,Bilateral,RDM_Stability,0.848591729884423
sub-072,nonOTC,Face,Asymmetric,Hybrid_Stability,0.8103112155867164
sub-072,nonOTC,Word,Asymmetric,Hybrid_Stability,0.7480426574396413
sub-072,nonOTC,Object,Bilateral,Hybrid_Stability,0.8960947333124981
sub-072,nonOTC,House,Bilateral,Hybrid_Stability,0.7902888963719412
sub-072,nonOTC,Face,Asymmetric,Spatial_Drift,1.1533682293874759
