Measure,Category,Type,Mean,SD,N
MDS Shift,Face,Unilateral,0.337957710653424,0.18557995379900755,24
MDS Shift,Word,Unilateral,0.2594093223683262,0.1370862127657801,24
MDS Shift,Object,Bilateral,0.382612318291085,0.22515655959931538,24
MDS Shift,House,Bilateral,0.3682378924083232,0.21409452880170451,24
