Measure,Comparison,OTC_gap,Other_gap,Difference,CI_low,CI_high,p_value,Sig
Selectivity,OTC vs Control,0.27525,0.11016666666666668,0.1650833333333333,0.013441666666666678,0.33469583333333325,0.0348,*
Selectivity,OTC vs nonOTC,0.27525,0.008333333333333337,0.26691666666666664,0.1314138888888889,0.4294527777777777,0.0004,***
Geometry,OTC vs Control,-0.28890812600804466,-0.09564042326061792,-0.19326770274742675,-0.3434559428730147,-0.04190226985495171,0.0182,*
Geometry,OTC vs nonOTC,-0.28890812600804466,-0.03589360141166828,-0.2530145245963764,-0.4046007632558912,-0.1036139732540199,0.0037,**
Spatial Drift,OTC vs Control,-5.535055782849789,-0.3438651843277826,-5.191190598522007,-13.382496557544318,2.643138445557539,0.1114,ns
Spatial Drift,OTC vs nonOTC,-5.535055782849789,-1.8259356423870925,-3.709120140462697,-11.432828619557132,3.973350313840576,0.1765,ns
MDS,OTC vs Control,0.07674158883882899,0.020494140470104078,0.05624744836872492,0.001764530073096051,0.11591826582748774,0.044,*
MDS,OTC vs nonOTC,0.07674158883882899,0.04369904863509728,0.033042540203731714,-0.02465809102049564,0.09425002624462919,0.1672,ns
