Measure,Control_Bilateral_Effect,Control_p,OTC_Additional_Effect,OTC_Interaction_p,OTC_Interaction_Sig,nonOTC_Additional_Effect,nonOTC_Interaction_p,nonOTC_Interaction_Sig,OTC_Total_Effect,nonOTC_Total_Effect
Selectivity Change,0.11016666666666658,0.0019739166637357335,0.16508333333333328,0.02043539979121234,*,-0.10183333333333325,0.09868388737111553,ns,0.2752499999999999,0.008333333333333331
Geometry Preservation,-0.09564042326061849,0.13311284997177836,-0.193267702747426,0.12913043619386277,ns,0.059746821848950235,0.5880198909887466,ns,-0.2889081260080445,-0.03589360141166825
Spatial Drift,-0.3438651843277786,0.8324959626335862,-5.191190598522008,0.1103827009872872,ns,-1.4820704580593154,0.598679701862853,ns,-5.535055782849787,-1.825935642387094
MDS Shift,0.020494140470104342,0.26499915994309275,0.05624744836872471,0.1261114725606,ns,0.023204908164992925,0.4662052852762536,ns,0.07674158883882905,0.04369904863509727
