Measure,OTC_gap,OTC_n,nonOTC_gap,nonOTC_n,Control_gap,Control_n,Within_OTC_p,OTC_vs_nonOTC_p,OTC_vs_Control_p
Selectivity,0.27525,6,0.008333333333333337,9,0.11016666666666668,9,0.0005840740058362448,0.0,0.0052
Geometry,-0.28890812600804466,6,-0.03589360141166828,9,-0.09564042326061792,9,0.009126284388339265,0.0,0.0021
Spatial Drift,-5.535055782849789,6,-1.8259356423870925,9,-0.3438651843277826,9,0.12988577535923168,0.184,0.0895
MDS,0.07674158883882899,6,0.04369904863509728,9,0.020494140470104078,9,0.047087871118278626,0.1676,0.0133
