Measure,Comparison,Difference,p_value,CI_low,CI_high,n1,n2,Significant
Selectivity Change,OTC vs nonOTC,0.26691666666666664,0.0004,-0.1732222222222222,0.19233333333333333,6,9,***
Selectivity Change,OTC vs Control,0.1650833333333333,0.0348,-0.16193055555555558,0.17459722222222224,6,9,*
Geometry Preservation,OTC vs nonOTC,-0.2530145245963764,0.0037,-0.1968563794027355,0.20091229518294867,6,9,**
Geometry Preservation,OTC vs Control,-0.19326770274742675,0.0182,-0.1833844471469449,0.17577991152795192,6,9,*
Spatial Drift,OTC vs nonOTC,-3.709120140462697,0.1765,-7.578226935108627,7.1937968076555325,6,9,ns
Spatial Drift,OTC vs Control,-5.191190598522007,0.1114,-8.181518599666392,8.265157649291027,6,9,ns
MDS Shift,OTC vs nonOTC,0.03304254020373173,0.167,-0.0635509975160235,0.06262707486268414,6,9,ns
MDS Shift,OTC vs Control,0.05624744836872493,0.044,-0.06198857259930606,0.0633237682125523,6,9,*
