Measure,OTC_gap,Control_gap,OTC_vs_Control_diff,OTC_vs_Control_p,OTC_vs_Control_sig,nonOTC_gap,OTC_vs_nonOTC_diff,OTC_vs_nonOTC_p,OTC_vs_nonOTC_sig
Selectivity,0.27525,0.11016666666666668,0.1650833333333333,0.0348,*,0.008333333333333337,0.26691666666666664,0.0004,***
Geometry,-0.28890812600804466,-0.09564042326061792,-0.19326770274742675,0.0182,*,-0.03589360141166828,-0.2530145245963764,0.0037,**
Spatial Drift,-5.535055782849789,-0.3438651843277826,-5.191190598522007,0.1114,ns,-1.8259356423870925,-3.709120140462697,0.1765,ns
MDS,0.07674158883882899,0.020494140470104078,0.05624744836872492,0.044,*,0.04369904863509728,0.033042540203731714,0.1672,ns
