Measure,OTC_Gap,Control_Gap,Difference,p_value,Significant
Selectivity Change,0.27525,0.11016666666666668,0.1650833333333333,0.0582,ns
Geometry Preservation,-0.28890812600804466,-0.09564042326061792,-0.19326770274742675,0.0326,*
Spatial Drift,-5.535055782849789,-0.3438651843277826,-5.191190598522007,0.229,ns
MDS Shift,0.07674158883882899,0.020494140470104075,0.05624744836872492,0.0869,ns
