Measure,Coefficient,Std_Error,CI_Low,CI_High,p_value,n_measurements,n_subjects,Significant
Selectivity Change,0.27524999999999994,0.0800400213493709,0.11837444083341597,0.4321255591665839,0.0005840729573006647,24,6,***
Geometry Preservation,-0.2889081260080448,0.11080795150993987,-0.5060877201681876,-0.07172853184790193,0.009126284385103767,24,6,**
Spatial Drift,-5.535055782849785,3.6545823320826605,-12.697905532268198,1.6277939665686292,0.1298858400492478,24,6,ns
MDS Shift,0.07674158883882905,0.02437767550792141,0.028962222816498913,0.12452095486115919,0.0016437632184190501,12,6,**
