Measure,Comparison,Difference,t_stat,p_value,Significant
MDS Shift,Face vs Word,0.0785483882850978,1.6678395490977391,0.10214209079459337,ns
MDS Shift,Face vs Object,-0.04465460763766099,-0.749750595608372,0.4572224602439391,ns
MDS Shift,Face vs House,-0.030280181754899216,-0.5235644988769794,0.6030948565270603,ns
MDS Shift,Word vs Object,-0.1232029959227588,-2.2896634529413746,0.026677663718811806,*
MDS Shift,Word vs House,-0.10882857003999702,-2.0971741680653375,0.04150360389492746,*
MDS Shift,Object vs House,0.014374425882761777,0.22665254686723996,0.8216981424880958,ns
