Measure,Effect,p_value,CI_Low,CI_High,Significant
Selectivity Change,0.27525,0.000584072957300663,0.14933333333333337,0.42924999999999996,***
Geometry Preservation,-0.2889081260080446,0.009126284386636393,-0.40518427972349386,-0.17395658880226955,**
Spatial Drift,-5.535055782849789,0.12988584004924758,-12.583501801729572,1.2020521026435915,ns
MDS Shift,0.07674158883882896,0.047623163281199594,0.03203619148406189,0.12575572699870852,*
