Measure,Excluded_Category,Full_Effect,Full_p,LOO_Effect,LOO_p,Percent_Change,Still_Significant
Selectivity,Face,0.2752499999999999,0.0005840740058362448,0.2983333333333333,0.0061029909992329255,8.386315470784163,Yes
Selectivity,Word,0.2752499999999999,0.0005840740058362448,0.2521666666666667,0.021294908362415856,-8.386315470784082,Yes
Selectivity,Object,0.2752499999999999,0.0005840740058362448,0.20441666666666675,0.0017020169237597998,-25.734181047532484,Yes
Selectivity,House,0.2752499999999999,0.0005840740058362448,0.3460833333333334,0.0003572351498642851,25.73418104753263,Yes
Geometry,Face,-0.2889081260080446,0.009126284388339265,-0.2504943184942951,0.08498871162648727,-13.296201821848335,No
Geometry,Word,-0.2889081260080446,0.009126284388339265,-0.32732193352179473,0.02652676582269764,13.296201821848546,Yes
Geometry,Object,-0.2889081260080446,0.009126284388339265,-0.5008037207792931,1.7161195496966553e-05,73.34359116134668,Yes
Geometry,House,-0.2889081260080446,0.009126284388339265,-0.07701253123679618,0.3526996118969713,-73.34359116134664,No
Spatial Drift,Face,-5.535055782849789,0.12988577535923168,-11.478251437293956,0.010105360816577773,107.37372643757243,Yes
Spatial Drift,Word,-5.535055782849789,0.12988577535923168,0.4081398715943719,0.8649997782912255,-107.37372643757234,No
Spatial Drift,Object,-5.535055782849789,0.12988577535923168,-4.45344516647765,0.3380002301651146,-19.541096942933777,No
Spatial Drift,House,-5.535055782849789,0.12988577535923168,-6.616666399221931,0.18172709168384826,19.541096942933812,No
MDS,Face,0.07674158883882899,0.047087871118278626,0.11601578298137812,0.014744435239327804,51.17719705417089,Yes
MDS,Word,0.07674158883882899,0.047087871118278626,0.03746739469628013,0.4587537934324667,-51.17719705417054,No
MDS,Object,0.07674158883882899,0.047087871118278626,0.06955437589744813,0.11785468623979833,-9.365473207070664,No
MDS,House,0.07674158883882899,0.047087871118278626,0.08392880178020999,0.06958394149322344,9.365473207070846,No
