Measure,Difference,CI_low,CI_high,p_value,Sig,CI_excludes_zero
Selectivity,0.27525,0.14933333333333337,0.42924999999999996,0.001,**,True
Geometry,-0.28890812600804444,-0.40518427972349386,-0.17395658880226955,0.0106,*,True
Spatial Drift,-5.535055782849787,-12.583501801729572,1.2020521026435915,0.0973,ns,False
MDS,0.07674158883882898,0.03203619148406189,0.12575572699870852,0.0249,*,True
