subject,code,group,hemi,roi_category,measured_category,category_type,mds_shift
sub-021,OTC021,OTC,r,object,face,Unilateral,0.10772297083427303
sub-021,OTC021,OTC,r,object,word,Unilateral,0.1559898796273319
sub-021,OTC021,OTC,r,object,object,Bilateral,0.15986024765864834
sub-021,OTC021,OTC,r,object,house,Bilateral,0.10929978239186301
sub-021,OTC021,OTC,r,house,face,Unilateral,0.5581623202084827
sub-021,OTC021,OTC,r,house,word,Unilateral,0.42301718900248403
sub-021,OTC021,OTC,r,house,object,Bilateral,0.8096994654497427
sub-021,OTC021,OTC,r,house,house,Bilateral,0.2052545608661395
sub-045,nonOTC045,nonOTC,r,face,face,Unilateral,0.07270129807393849
sub-045,nonOTC045,nonOTC,r,face,word,Unilateral,0.10053767313095713
sub-045,nonOTC045,nonOTC,r,face,object,Bilateral,0.21690590136787538
sub-045,nonOTC045,nonOTC,r,face,house,Bilateral,0.12101455478608353
sub-045,nonOTC045,nonOTC,r,word,face,Unilateral,0.11287491220102752
sub-045,nonOTC045,nonOTC,r,word,word,Unilateral,0.25541274632966515
sub-045,nonOTC045,nonOTC,r,word,object,Bilateral,0.2697518574435661
sub-045,nonOTC045,nonOTC,r,word,house,Bilateral,0.2333963901750836
sub-045,nonOTC045,nonOTC,r,object,face,Unilateral,0.15202855368256638
sub-045,nonOTC045,nonOTC,r,object,word,Unilateral,0.08028619346092261
sub-045,nonOTC045,nonOTC,r,object,object,Bilateral,0.19538035729438633
sub-045,nonOTC045,nonOTC,r,object,house,Bilateral,0.05084313995553498
sub-045,nonOTC045,nonOTC,r,house,face,Unilateral,0.23319092739592526
sub-045,nonOTC045,nonOTC,r,house,word,Unilateral,0.06348891362942467
sub-045,nonOTC045,nonOTC,r,house,object,Bilateral,0.5769611701624707
sub-045,nonOTC045,nonOTC,r,house,house,Bilateral,0.5783282881895846
sub-047,nonOTC047,nonOTC,l,face,face,Unilateral,0.11453667661593668
sub-047,nonOTC047,nonOTC,l,face,word,Unilateral,0.10779770102450985
sub-047,nonOTC047,nonOTC,l,face,object,Bilateral,0.04929962029254086
sub-047,nonOTC047,nonOTC,l,face,house,Bilateral,0.11231087595051845
sub-047,nonOTC047,nonOTC,l,word,face,Unilateral,0.35091265279219164
sub-047,nonOTC047,nonOTC,l,word,word,Unilateral,0.242050392390078
sub-047,nonOTC047,nonOTC,l,word,object,Bilateral,0.345141968011015
sub-047,nonOTC047,nonOTC,l,word,house,Bilateral,0.5470533341919559
sub-047,nonOTC047,nonOTC,l,object,face,Unilateral,0.18781910315726744
sub-047,nonOTC047,nonOTC,l,object,word,Unilateral,0.34215146278564046
sub-047,nonOTC047,nonOTC,l,object,object,Bilateral,0.11687669149342944
sub-047,nonOTC047,nonOTC,l,object,house,Bilateral,0.2331641787822633
sub-047,nonOTC047,nonOTC,l,house,face,Unilateral,0.20178654982621883
sub-047,nonOTC047,nonOTC,l,house,word,Unilateral,0.32658678862473833
sub-047,nonOTC047,nonOTC,l,house,object,Bilateral,0.39344453051647565
sub-047,nonOTC047,nonOTC,l,house,house,Bilateral,0.3700171755959409
sub-049,nonOTC049,nonOTC,l,face,face,Unilateral,0.0822282436968749
sub-049,nonOTC049,nonOTC,l,face,word,Unilateral,0.07508853731274809
sub-049,nonOTC049,nonOTC,l,face,object,Bilateral,0.028776404262501
sub-049,nonOTC049,nonOTC,l,face,house,Bilateral,0.12555779450676224
sub-049,nonOTC049,nonOTC,l,word,face,Unilateral,0.21015573747934457
sub-049,nonOTC049,nonOTC,l,word,word,Unilateral,0.1721611292379396
sub-049,nonOTC049,nonOTC,l,word,object,Bilateral,0.2813984476898891
sub-049,nonOTC049,nonOTC,l,word,house,Bilateral,0.1753773242512729
sub-049,nonOTC049,nonOTC,l,object,face,Unilateral,0.1030152589307497
sub-049,nonOTC049,nonOTC,l,object,word,Unilateral,0.1805741684470523
sub-049,nonOTC049,nonOTC,l,object,object,Bilateral,0.20362448033116165
sub-049,nonOTC049,nonOTC,l,object,house,Bilateral,0.2841186964425939
sub-049,nonOTC049,nonOTC,l,house,face,Unilateral,0.15914728091929778
sub-049,nonOTC049,nonOTC,l,house,word,Unilateral,0.35303652866173896
sub-049,nonOTC049,nonOTC,l,house,object,Bilateral,0.5537466060741559
sub-049,nonOTC049,nonOTC,l,house,house,Bilateral,0.3869638682613
sub-070,nonOTC070,nonOTC,r,face,face,Unilateral,0.011332839070101752
sub-070,nonOTC070,nonOTC,r,face,word,Unilateral,0.19851599451990426
sub-070,nonOTC070,nonOTC,r,face,object,Bilateral,0.12359991730625312
sub-070,nonOTC070,nonOTC,r,face,house,Bilateral,0.10655603815781639
sub-070,nonOTC070,nonOTC,r,word,face,Unilateral,0.014372104909480553
sub-070,nonOTC070,nonOTC,r,word,word,Unilateral,0.07042964746515704
sub-070,nonOTC070,nonOTC,r,word,object,Bilateral,0.0801941686742674
sub-070,nonOTC070,nonOTC,r,word,house,Bilateral,0.11383144308211438
sub-070,nonOTC070,nonOTC,r,object,face,Unilateral,0.033191253146683045
sub-070,nonOTC070,nonOTC,r,object,word,Unilateral,0.07074859835202767
sub-070,nonOTC070,nonOTC,r,object,object,Bilateral,0.0954375816010757
sub-070,nonOTC070,nonOTC,r,object,house,Bilateral,0.0064851516573970255
