Measure,Bilateral_Mean,Unilateral_Mean,Difference,p_value,CI_low,CI_high,Sig
Selectivity,0.41883333333333334,0.14358333333333334,0.2752499999999999,0.0005840740058362448,0.11837441866292236,0.4321255813370774,***
Geometry,0.42389441251711074,0.7128025385251552,-0.2889081260080446,0.009126284388339265,-0.5060877201782981,-0.0717285318377911,**
Spatial Drift,6.951114110393409,12.486169893243195,-5.535055782849789,0.12988577535923168,-12.697904324993793,1.6277927592942136,ns
MDS,0.375425105349704,0.29868351651087505,0.07674158883882899,0.047087871118278626,0.0009873358293302908,0.1524958418483277,*
