subject,group,roi,hemi,category,session,distinctiveness
sub-045,nonOTC,r_object,r,object,03,0.35564100283165406
sub-045,nonOTC,r_house,r,house,01,0.623005716642344
sub-045,nonOTC,r_house,r,house,02,0.6342397687545817
sub-045,nonOTC,r_house,r,house,03,0.35909134169434576
sub-047,nonOTC,l_face,l,face,01,-0.16247357970694407
sub-047,nonOTC,l_face,l,face,02,-0.021942212038700143
sub-047,nonOTC,l_word,l,word,01,-0.24365783126147625
sub-047,nonOTC,l_word,l,word,02,-0.12719999975050691
sub-047,nonOTC,l_object,l,object,01,0.1710713746749728
sub-047,nonOTC,l_object,l,object,02,0.04734663726758068
sub-047,nonOTC,l_house,l,house,01,0.03548715934293133
sub-047,nonOTC,l_house,l,house,02,0.20330763659770787
sub-049,nonOTC,l_face,l,face,01,-0.22329084467435856
sub-049,nonOTC,l_face,l,face,02,-0.29607659433695427
sub-049,nonOTC,l_word,l,word,01,-0.1292188534405244
sub-049,nonOTC,l_word,l,word,02,0.08639201366686651
sub-049,nonOTC,l_object,l,object,01,0.018029940908108517
sub-049,nonOTC,l_object,l,object,02,0.13420696112654204
sub-049,nonOTC,l_house,l,house,01,0.10115172933195919
sub-049,nonOTC,l_house,l,house,02,0.44381836816697845
sub-070,nonOTC,r_face,r,face,01,-0.07693232537498725
sub-070,nonOTC,r_face,r,face,02,0.034268358136532485
sub-070,nonOTC,r_word,r,word,01,-0.1380580563845956
sub-070,nonOTC,r_word,r,word,02,-0.03160850938037407
sub-070,nonOTC,r_object,r,object,01,0.5062688014967076
sub-070,nonOTC,r_object,r,object,02,0.7179479319723971
sub-070,nonOTC,r_house,r,house,01,0.5369631424078776
sub-070,nonOTC,r_house,r,house,02,0.5799546265172372
sub-072,nonOTC,l_face,l,face,01,0.004665870369626679
sub-072,nonOTC,l_face,l,face,02,-0.05108093945343556
sub-072,nonOTC,l_word,l,word,01,-0.25980945768243835
sub-072,nonOTC,l_word,l,word,02,-0.08566974812218542
sub-072,nonOTC,l_object,l,object,01,0.3364154770629216
sub-072,nonOTC,l_object,l,object,02,0.1795691117415602
sub-072,nonOTC,l_house,l,house,01,0.3943185390746504
sub-072,nonOTC,l_house,l,house,02,0.4028947753345304
sub-073,nonOTC,l_face,l,face,01,0.3924877464100203
sub-073,nonOTC,l_face,l,face,02,-0.10059390393670968
sub-073,nonOTC,l_word,l,word,01,0.18038231150109582
sub-073,nonOTC,l_word,l,word,02,-0.34148847695612955
sub-073,nonOTC,l_object,l,object,01,0.024652237897617113
sub-073,nonOTC,l_object,l,object,02,-0.029418599931081382
sub-073,nonOTC,l_house,l,house,01,0.601328290394329
sub-073,nonOTC,l_house,l,house,02,0.3347094547941407
